               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.033522,             0.02186,          0.00093865,             0.73201,             0.66993,             0.69733,             0.44763,             0.03546,            0.020086,          0.00038299,            0.006898,            0.006898,            0.006898
                  96,            0.033282,            0.022051,           0.0010019,             0.75223,             0.64538,             0.69756,             0.44793,            0.035178,             0.01986,          0.00032701,            0.006865,            0.006865,            0.006865
                  97,            0.033533,            0.021924,          0.00098862,             0.70355,             0.66244,             0.69977,             0.44188,            0.035608,             0.01997,          0.00039405,            0.006832,            0.006832,            0.006832
                  98,            0.033509,            0.021652,          0.00087269,             0.73866,             0.62866,             0.69044,             0.43875,            0.035839,            0.020203,          0.00045082,            0.006799,            0.006799,            0.006799
                  99,            0.033276,            0.021932,          0.00091181,             0.73511,             0.65024,             0.69177,             0.43956,            0.035622,             0.02035,          0.00051059,            0.006766,            0.006766,            0.006766
                 100,            0.032944,             0.02179,          0.00096654,             0.72021,             0.64856,             0.68336,             0.44001,            0.035517,            0.020068,          0.00054019,            0.006733,            0.006733,            0.006733
                 101,            0.033237,            0.021598,          0.00087176,             0.74099,             0.63697,              0.6886,             0.44126,            0.035647,            0.020053,           0.0005496,              0.0067,              0.0067,              0.0067
                 102,            0.032936,            0.021611,          0.00092751,              0.7415,             0.64287,             0.68869,             0.43782,            0.035734,            0.020015,           0.0006313,            0.006667,            0.006667,            0.006667
                 103,            0.033201,             0.02131,          0.00095972,             0.75262,             0.65658,             0.68901,             0.43711,            0.035732,            0.020099,          0.00071179,            0.006634,            0.006634,            0.006634
                 104,            0.032954,            0.021181,          0.00082607,              0.7759,             0.64345,             0.68881,             0.43716,            0.035798,            0.020117,          0.00064549,            0.006601,            0.006601,            0.006601
                 105,            0.033236,            0.021876,            0.001107,             0.75806,             0.64902,              0.6907,             0.43927,            0.035574,            0.020261,          0.00053574,            0.006568,            0.006568,            0.006568
                 106,            0.032719,            0.021566,          0.00081628,             0.75709,             0.65971,             0.69446,             0.44241,             0.03548,            0.020406,          0.00054455,            0.006535,            0.006535,            0.006535
                 107,             0.03277,            0.021539,          0.00091203,             0.75732,             0.64832,              0.6884,             0.43624,            0.035613,            0.020504,          0.00053183,            0.006502,            0.006502,            0.006502
                 108,            0.032973,             0.02169,          0.00095223,             0.75243,             0.64553,             0.69256,             0.43432,            0.035658,            0.020559,          0.00054836,            0.006469,            0.006469,            0.006469
                 109,            0.032458,            0.021218,          0.00085958,             0.71825,             0.67817,             0.69183,             0.43479,            0.035686,            0.020706,          0.00058431,            0.006436,            0.006436,            0.006436
                 110,            0.033029,             0.02137,          0.00093436,             0.73331,             0.65868,             0.68398,              0.4341,            0.035531,             0.02067,          0.00060609,            0.006403,            0.006403,            0.006403
                 111,            0.032949,            0.021379,          0.00092058,             0.72017,             0.68106,             0.69077,             0.43836,            0.035377,            0.020551,          0.00057868,             0.00637,             0.00637,             0.00637
                 112,             0.03268,            0.021229,          0.00092768,             0.73095,             0.68053,             0.69491,             0.44219,            0.035379,            0.020642,          0.00051219,            0.006337,            0.006337,            0.006337
                 113,            0.032467,            0.021176,          0.00093039,             0.74493,             0.67195,             0.69483,             0.44417,            0.035276,            0.020713,           0.0005027,            0.006304,            0.006304,            0.006304
                 114,             0.03286,            0.021499,          0.00086038,              0.7336,             0.68009,             0.69466,              0.4438,             0.03527,            0.020654,          0.00047295,            0.006271,            0.006271,            0.006271
                 115,            0.032229,            0.021297,           0.0008035,             0.76126,              0.6514,             0.69683,             0.44031,            0.035323,            0.020614,          0.00053498,            0.006238,            0.006238,            0.006238
                 116,            0.032045,            0.021534,          0.00092846,             0.78218,             0.63625,             0.69488,              0.4386,            0.035303,            0.020586,          0.00054392,            0.006205,            0.006205,            0.006205
                 117,            0.032127,            0.021112,          0.00089292,             0.79032,             0.62276,             0.69388,             0.43902,            0.035403,            0.020642,          0.00058942,            0.006172,            0.006172,            0.006172
                 118,            0.032641,            0.021465,           0.0008422,             0.79211,             0.62779,             0.68571,             0.44059,            0.035417,            0.020565,          0.00059587,            0.006139,            0.006139,            0.006139
                 119,            0.032174,            0.021025,          0.00085328,             0.73104,             0.66895,             0.69485,             0.44266,            0.035441,            0.020555,          0.00058478,            0.006106,            0.006106,            0.006106
